,station_name,lat,lng,start_count,end_count
371,Willoughby Ave & Hall St,40.692,-73.965,412.0,412.0
372,South St & Whitehall St,40.701,-74.012,411.0,420.0
373,E 6 St & 2 Ave,40.727,-73.988,410.0,416.0
374,W 47 St & 6 Ave,40.758,-73.983,408.0,416.0
375,Meserole Ave & Manhattan Ave,40.727,-73.953,408.0,430.0
376,Jay St & Tech Pl,40.695,-73.987,407.0,407.0
377,Bergen St & Vanderbilt Ave,40.679,-73.968,407.0,418.0
378,Fulton St & Waverly Ave,40.683,-73.966,407.0,367.0
379,Bedford Ave & Bergen St,40.676,-73.953,406.0,414.0
380,E 89 St & 3 Ave,40.781,-73.952,406.0,402.0
381,Broadway & Battery Pl,40.705,-74.014,405.0,372.0
382,India St & Manhattan Ave,40.732,-73.955,404.0,391.0
383,Morton St & Washington St,40.731,-74.009,404.0,421.0
384,Perry St & Greenwich Ave,40.736,-74.001,404.0,437.0
385,Carroll St & Smith St,40.681,-73.995,400.0,386.0
386,Stagg St & Union Ave,40.709,-73.951,398.0,386.0
387,E 45 St & 3 Ave,40.753,-73.973,398.0,402.0
388,Willoughby St & Fleet St,40.692,-73.981,398.0,397.0
389,Scholes St & Manhattan Ave,40.709,-73.945,397.0,413.0
390,W 87 St & West End Ave,40.79,-73.978,396.0,406.0
391,Henry St & Atlantic Ave,40.691,-73.996,395.0,398.0
392,E 97 St & Madison Ave,40.788,-73.954,394.0,410.0
393,Lenox Ave & W 117 St,40.803,-73.949,393.0,398.0
394,Bergen St & Smith St,40.687,-73.991,392.0,408.0
395,St. Nicholas Ave & W 126 St,40.811,-73.952,392.0,409.0
396,W 48 St &  Rockefeller Plaza,40.758,-73.979,391.0,393.0
397,E 4 St & Ave B,40.723,-73.983,388.0,410.0
398,Sands St & Jay St,40.7,-73.986,387.0,395.0
399,W 106 St & Amsterdam Ave,40.801,-73.966,386.0,388.0
400,Forsyth St & Broome St,40.719,-73.993,385.0,386.0
401,Prospect Pl & Vanderbilt Ave,40.678,-73.969,385.0,355.0
402,E 88 St & Park Ave,40.781,-73.956,384.0,378.0
403,Montague St & Clinton St,40.694,-73.992,383.0,377.0
404,Orchard St & Grand St,40.717,-73.991,382.0,400.0
405,Boerum Pl\t& Pacific St,40.688,-73.991,382.0,370.0
406,W Broadway & Spring St,40.725,-74.002,381.0,382.0
407,E 12 St & Ave C,40.727,-73.977,381.0,386.0
408,Eastern Pkwy & Franklin Ave,40.671,-73.958,380.0,352.0
409,E 68 St & 3 Ave,40.767,-73.962,379.0,385.0
410,Bergen St & Flatbush Ave,40.681,-73.976,379.0,383.0
411,E 47 St & 1 Ave,40.752,-73.968,379.0,396.0
412,E 65 St & 2 Ave,40.765,-73.962,377.0,386.0
413,DeKalb Ave & S Portland Ave,40.69,-73.975,377.0,369.0
414,Gansevoort St & Hudson St,40.739,-74.005,376.0,401.0
415,Kenmare St & Elizabeth St,40.721,-73.995,375.0,373.0
416,E 75 St & 3 Ave,40.771,-73.958,374.0,381.0
417,Graham Ave & Grand St,40.712,-73.944,374.0,365.0
418,Huron St & Franklin St,40.733,-73.958,373.0,383.0
419,Washington St & Barrow St,40.732,-74.009,372.0,375.0
420,W 113 St & Broadway,40.806,-73.965,372.0,375.0
421,Flatbush Ave & Ocean Ave,40.664,-73.963,372.0,370.0
422,W 92 St & Broadway,40.792,-73.974,371.0,366.0
423,Watts St & Greenwich St,40.724,-74.01,370.0,394.0
424,E 114 St & 1 Ave,40.795,-73.936,370.0,355.0
425,Liberty St & Nassau St,40.709,-74.009,369.0,390.0
426,Riverside Dr & W 82 St,40.787,-73.981,369.0,347.0
427,Hicks St & Montague St,40.695,-73.996,369.0,379.0
428,Plaza St West & Flatbush Ave,40.675,-73.971,368.0,377.0
429,Metropolitan Ave & Meeker Ave,40.714,-73.952,367.0,390.0
430,Monroe St & Bedford Ave,40.685,-73.954,366.0,362.0
431,Avenue C & E 18 St,40.731,-73.974,365.0,358.0
